org,true_name
ATL,ATL
Marlins,MIA
SD,SD
Blue Jays,TOR
BOS,BOS
Braves,ATL
Expos,MTL
Mets,NYM
Rangers,TEX
Athletics,OAK
Cubs,CHC
Dodgers,LAD
Indians,CLE
ATHLETICS,OAK
TEX,TEX
Angels,LAA
Astros,HOU
CHC,CHC
CWS,CWS
Diamondbacks,ARI
NYM,NYM
NYY,NYY
Padres,SD
RAYS,TB
Red Sox,BOS
RED SOX,BOS
Royals,KC
TB,TB
Twins,MIN
ARI,ARI
Brewers,MIL
Cardinals,STL
CUBS,CHC
Devil Rays,TB
INDIANS,CLE
LAD,LAD
Mariners,SEA
Orioles,BAL
Pirates,PIT
PIT,PIT
RANGERS,TEX
Reds,CIN
Rockies,COL
Yankees,NYY
BRAVES,ATL
CIN,CIN
Giants,SF
HOU,HOU
MARLINS,MIA
MIN,MIN
ORIOLES,BAL
PHI,PHI
REDS,CIN
STL,STL
TOR,TOR
White Sox,CWS
COL,COL
DODGERS,LAD
MIL,MIL
OAK,OAK
Rays,TB
ROCKIES,COL
Tigers,DET
TWINS,MIN
KC,KC
MIA,MIA
NATIONALS,WSH
PADRES,SD
Phillies,PHI
ROYALS,KC
SEA,SEA
ANGELS,LAA
BAL,BAL
BLUE JAYS,TOR
FLA,MIA
GIANTS,SF
MARINERS,SEA
METS,NYM
PHILLIES,PHI
PIRATES,PIT
WSH,WSH
BREWERS,MIL
DET,DET
LAA,LAA
Nationals,WSH
WHITE SOX,CWS
YANKEES,NYY
ASTROS,HOU
CARDINALS,STL
CLE,CLE
TIGERS,DET
DIAMONDBACKS,ARI
SF,SF
WAS,WSH
D-Backs,ARI
CHW,CWS
Marlin,MIA
REDS SOX,BOS
TIgers,DET
NA,
